Iteración,NA's Arribo,Arribo,T. de Llegada,NA's Distribución,T. Distribución,Inicio Distribución,Fin Distribución,NA's Servidor 1,Inicio Servidor 1,Fin Servidor 1,NA's Servidor 2,Inicio Servidor 2,Fin Servidor 2,NA's Servidor 3,Inicio Servidor 3,Fin Servidor 3,NA's Servidor 4,Inicio Servidor 4,Fin Servidor 4,NA's Servidor 5,Inicio Servidor 5,Fin Servidor 5,Cola Distribución,Cola Servidor,Cola Total,Promedio Móvil,Replica 1,Replica 2,Replica 3,Replica 4,Replica 5,Replica 6,Replica 7,Replica 8,Replica 9,Replica 10,Replica 11,Replica 12,Replica 13,Replica 14,Replica 15
1,"[0.698606, 0.625252]",1.4028309045383458,1.4028309045383458,"[0.92063, 0.5333, 0.335091, 0.54774]",0.18430403631677403,1.4028309045383458,1.5871349408551199,"[0.520454, 0.518052]",1.5871349408551199,3.8337279633274663,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"[0.277346, 0.389757]",0.203937260340376,1.6067681648787218,"[0.5677, 0.147388]",0.27454685659318234,1.6067681648787218,1.881315021471904,,0.0,0.0,"[0.747388, 0.581486]",1.881315021471904,6.519094427178616,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.08667124937253584,0.0,0.052616521001081384,0.0,0.0,0.0,0.0,0.06184228196689265,0.031994858065921505,0.0,0.0,0.0,0.08293595324120992,0.0,0.0
3,"[0.925129, 0.110455, 0.920935, 0.477617, 0.609818, 0.261977]",0.9934181084239426,2.6001862733026644,"[0.747396, 0.985071, 0.185083, 0.187289]",0.12823033313918694,2.6001862733026644,2.728416606441851,,0.0,0.0,,0.0,0.0,"[0.927277, 0.150262]",2.728416606441851,8.886311351796405,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.22930529136132172,0.0,0.14165539184571277,0.0,0.0,0.0,0.04802589848950508,0.04122818797792843,0.021329905377281005,0.0,0.0,0.0,0.17873226912917253,0.0,0.0
4,"[0.68384, 0.333317]",1.3261978457361567,3.926384119038821,"[0.334147, 0.904945]",0.1839610104388845,3.926384119038821,4.110345129477706,,0.0,0.0,,0.0,0.0,,0.0,0.0,[0.79197],4.110345129477706,9.094511183310573,,0.0,0.0,0.0,0.0,0.0,0.0,0.1719789685209913,0.0,0.21188161270038042,0.0,0.0,0.03001003253084278,0.051125334021237034,0.030921140983446324,0.015997429032960753,0.0,0.0,0.013768068205743056,0.27659875295454633,0.04412106717545017,0.0
5,"[0.354881, 0.518239]",0.3170241640822045,4.243408283121026,"[0.436936, 0.155727]",0.2218367452889361,4.243408283121026,4.465245028409962,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,"[0.632509, 0.4832]",4.465245028409962,7.912474111732742,0.0,0.0,0.0,0.0,0.13758317481679302,0.023188668127664246,0.16950529016030433,0.0,0.0164775702763011,0.062601821165536,0.08726943718579508,0.02473691278675706,0.012797943226368602,0.017177813540287266,0.0,0.011014454564594444,0.22127900236363707,0.0770102597905229,0.0
6,"[0.143864, 0.538391]",0.07087165363515971,4.3142799367561855,"[0.119579, 0.714218]",0.1003278093006068,4.465245028409962,4.565572837710569,"[0.284551, 0.195834]",4.565572837710569,5.470140641203662,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.15096509165377636,0.0,0.15096509165377636,0.025160848608962727,0.11465264568066086,0.08694319053054682,0.19559327241983024,0.0,0.042706333131729966,0.05216818430461334,0.09105275570105209,0.020614093988964216,0.03537713710728899,0.049591684554454396,0.0,0.009178712137162037,0.1843991686363642,0.06417521649210241,0.025160848608962727
7,"[0.570285, 0.840516]",0.8467298802649088,5.161009817021094,"[0.77097, 0.429935]",0.3858654253147701,5.161009817021094,5.546875242335864,"[0.253953, 0.554482]",5.546875242335864,6.3154944546109455,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.021566441664825194,0.09827369629770931,0.0745227347404687,0.2684135763748389,0.0,0.03660542839862568,0.04471558654681144,0.10417499555003706,0.017669223419112184,0.03032326037767628,0.16731472208114706,0.0,0.007867467546138889,0.15805643025974075,0.21633071158419062,0.021566441664825194
8,"[0.32521, 0.282003]",0.27008878784781754,5.431098604868912,"[0.751006, 0.833674]",0.3719490507854012,5.546875242335864,5.918824293121266,"[0.110863, 0.729541]",6.3154944546109455,6.5639696448051055,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.11577663746695244,0.3966701614896797,0.5124467989566321,0.08292648632630106,0.08708731075907057,0.06520739289791011,0.23486187932798408,0.0,0.03202974984879747,0.09198695062868067,0.12876342753279957,0.054452111797621154,0.026532852830466747,0.16721075424052434,0.0,0.029912661051721745,0.13829937647727317,0.3295426202604019,0.08292648632630106
9,"[0.326733, 0.571356]",0.27238193538147726,5.703480540250389,"[0.585419, 0.869524]",0.2824009110076831,5.918824293121266,6.201225204128949,,0.0,0.0,"[0.8166, 0.855676, 0.875068, 0.797847, 0.43478, 0.701584]",6.519094427178616,8.3123497766356,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.2153437528708766,0.3178692230496667,0.5332129759205433,0.1329583185034391,0.07741094289695162,0.057962127020364546,0.20876611495820807,0.0,0.032892397391160344,0.08176617833660504,0.11445638002915517,0.09692917284197877,0.023584758071525998,0.29601098876427095,0.0,0.026589032045974886,0.12293277909090948,0.42714326604245684,0.1329583185034391
10,"[0.246608, 0.115786]",0.16705063427111602,5.870531174521505,"[0.413193, 0.222778]",0.21293431791745543,6.201225204128949,6.414159522046405,"[0.616439, 0.283819]",6.5639696448051055,9.501212765562522,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.3306940296074439,0.14981012275870054,0.4805041523661444,0.1677129018897096,0.06966984860725646,0.05216591431832809,0.20745411925997442,0.0,0.02960315765204431,0.07358956050294455,0.10301074202623965,0.08723625555778089,0.021226282264373397,0.4158381674570097,0.0,0.023930128841377397,0.11063950118181853,0.5845677573545753,0.1677129018897096
